cod_distrito,cod_concelho,cod_localidade,nome_localidade,cod_arteria,tipo_arteria,prep1,titulo_arteria,prep2,nome_arteria,local_arteria,troco,porta,cliente,num_cod_postal,ext_cod_postal,desig_postal
13,12,38332,Porto,10661213,Rua,,,,João de Deus,,Pares de 108 a 338,,,4100,457,PORTO
13,12,38332,Porto,10661213,Rua,,,,João de Deus,,Pares de 364 a 448,,,4100,458,PORTO
13,12,38332,Porto,10661213,Rua,,,,João de Deus,,Pares de 552 a 724,,,4100,459,PORTO
13,12,38332,Porto,10661213,Rua,,,,João de Deus,,Pares de 6 a 66,,,4100,456,PORTO
13,12,38332,Porto,10681213,Rua,,,,João Grave,,Impares de 1 a 199,,,4150,428,PORTO
13,12,38332,Porto,10681213,Rua,,,,João Grave,,Pares de 26 a 186,,,4150,427,PORTO
13,12,38332,Porto,10691213,Rua,,,,João de Lisboa,,,,,4150,418,PORTO
13,12,38332,Porto,10701213,Rua,,,,João Martins Branco,,Impares de 21 a 65,,,4150,431,PORTO
13,12,38332,Porto,10701213,Rua,,,,João Martins Branco,,Pares de 118 a 400,,,4150,430,PORTO
13,12,38332,Porto,10711213,Rua,,,,João Lúcio Azevedo,,Impares de 53 a 71,,,4200,339,PORTO
13,12,38332,Porto,10711213,Rua,,,,João Lúcio Azevedo,,Pares de 54 a 104,,,4200,338,PORTO
13,12,38332,Porto,1071213,Rua,,,,Alto de Vila,,Impares de 315 a 457,,,4150,060,PORTO
13,12,38332,Porto,1071213,Rua,,,,Alto de Vila,,Impares de 5 a 303,,,4150,059,PORTO
13,12,38332,Porto,1071213,Rua,,,,Alto de Vila,,Pares de 250 a 392,,,4150,058,PORTO
13,12,38332,Porto,1071213,Rua,,,,Alto de Vila,,Pares de 6 a 226,,,4150,057,PORTO
13,12,38332,Porto,10721213,Rua,,,,João de Oliveira Ramos,,,,,4000,294,PORTO
13,12,38332,Porto,10731213,Rua,,,,João Paulo Freire,,,,,4150,432,PORTO
13,12,38332,Porto,10741213,Rua,,,,João Pedro Ribeiro,,Impares de 595 a 759,,,4000,307,PORTO
13,12,38332,Porto,10741213,Rua,,,,João Pedro Ribeiro,,Impares de 785 a 937,,,4000,308,PORTO
13,12,38332,Porto,10741213,Rua,,,,João Pedro Ribeiro,,Pares de 680 a 750,,,4000,305,PORTO
13,12,38332,Porto,10741213,Rua,,,,João Pedro Ribeiro,,Pares de 788 a 880,,,4000,306,PORTO
13,12,38332,Porto,10751213,Rua,,Arquiteto,,João Queirós,,,,,4150,433,PORTO
13,12,38332,Porto,10761213,Rua,,,,João Ramalho,,Impares de 1 a 263,,,4200,342,PORTO
13,12,38332,Porto,10761213,Rua,,,,João Ramalho,,Impares de 343 a 445,,,4200,343,PORTO
13,12,38332,Porto,10761213,Rua,,,,João Ramalho,,Pares de 28 a 390,,,4200,340,PORTO
13,12,38332,Porto,10761213,Rua,,,,João Ramalho,,Pares de 406 a 430,,,4200,341,PORTO
13,12,38332,Porto,10771213,Rua,,,,João das Regras,,Impares de 1 a 117,,,4000,292,PORTO
13,12,38332,Porto,10771213,Rua,,,,João das Regras,,Impares de 151 a 341,,,4000,293,PORTO
13,12,38332,Porto,10771213,Rua,,,,João das Regras,,Oficina Auto,,,4000,292,PORTO
13,12,38332,Porto,10771213,Rua,,,,João das Regras,,Pares de 12 a 122,,,4000,290,PORTO
13,12,38332,Porto,10771213,Rua,,,,João das Regras,,Pares de 146 a 350,,,4000,291,PORTO
13,12,38332,Porto,10771213,Rua,,,,João das Regras,,,222,TRIBUNAL CRIMINAL DE PEQUENA INSTÂNCIA ,4049,051,PORTO
13,12,38332,Porto,10781213,Rua,,,,João Roby,,,,,4200,345,PORTO
13,12,38332,Porto,10791213,Rua,,,,João Rodrigues Cabrilho,Bairro Marechal Gomes da Costa,,,,4150,434,PORTO
13,12,38332,Porto,10801213,Rua,,,,Joaquim Alves Teixeira,,,,,4350,205,PORTO
13,12,38332,Porto,10811213,Rua,,,,Joaquim António de Aguiar,,Impares de 1 a 181,,,4000,311,PORTO
13,12,38332,Porto,10811213,Rua,,,,Joaquim António de Aguiar,,Impares de 215 a 275,,,4300,267,PORTO
13,12,38332,Porto,10811213,Rua,,,,Joaquim António de Aguiar,,Pares de 10 a 114,,,4000,309,PORTO
13,12,38332,Porto,10811213,Rua,,,,Joaquim António de Aguiar,,Pares de 140 a 182,,,4000,310,PORTO
13,12,38332,Porto,10811213,Rua,,,,Joaquim António de Aguiar,,Pares de 210 a 288,,,4300,266,PORTO
13,12,38332,Porto,10811213,Rua,,,,Joaquim António de Aguiar,,,168,MULTITEMA,4049,056,PORTO
13,12,38332,Porto,1081213,Travessa,,,,Alto de Vila,,,,,4150,061,PORTO
13,12,38332,Porto,10831213,Rua,,,,Joaquim Kopke,,,,,4200,346,PORTO
13,12,38332,Porto,108387100,Rua,,Padre,,António Joaquim da Silva Lopes,,,,,4250,045,PORTO
13,12,38332,Porto,108395100,Rua,,,,Fernando Lanhas,,,,,4250,159,PORTO
13,12,38332,Porto,108403100,Rua,,,,Alcino Soutinho,,,,,4250,159,PORTO
13,12,38332,Porto,108405100,Rua,,Professor,,Vasco Sá,,,,,4200,299,PORTO
13,12,38332,Porto,108407100,Escadas,do,,,Encontro,,,,,4200,285,PORTO
13,12,38332,Porto,108409100,Rua,,,,Lugar da Travessa,,,,,4200,360,PORTO
13,12,38332,Porto,10841213,Rua,,,,Joaquim Leitão,,Impares de 137 a 345,,,4100,289,PORTO
13,12,38332,Porto,10841213,Rua,,,,Joaquim Leitão,,Impares de 351 a 373,,,4100,290,PORTO
13,12,38332,Porto,10841213,Rua,,,,Joaquim Leitão,,Pares de 32 a 272,,,4100,288,PORTO
13,12,38332,Porto,108414100,Rua,,,,Guedes Pinheiro,,,,,4200,121,PORTO
13,12,38332,Porto,108415100,Rua,,,,Costa Mendes,,,,,4200,117,PORTO
13,12,38332,Porto,108426100,Rua,do,,,Antigo Bairro da Areosa,,Impares de 1 a 3,,,4200,118,PORTO
13,12,38332,Porto,108426100,Rua,do,,,Antigo Bairro da Areosa,,Impares de 21 a 29,,,4200,118,PORTO
13,12,38332,Porto,108426100,Rua,do,,,Antigo Bairro da Areosa,,Impares de 31 a 35,,,4200,123,PORTO
13,12,38332,Porto,108426100,Rua,do,,,Antigo Bairro da Areosa,,Impares de 37 a 401,,,4200,118,PORTO
13,12,38332,Porto,108426100,Rua,do,,,Antigo Bairro da Areosa,,Impares de 489 a 515,,,4200,123,PORTO
13,12,38332,Porto,108426100,Rua,do,,,Antigo Bairro da Areosa,,Impares de 7 a 17,,,4200,119,PORTO
13,12,38332,Porto,108426100,Rua,do,,,Antigo Bairro da Areosa,,Pares de 2 a 6,,,4200,118,PORTO
13,12,38332,Porto,108426100,Rua,do,,,Antigo Bairro da Areosa,,Pares de 20 a 30,,,4200,118,PORTO
13,12,38332,Porto,108426100,Rua,do,,,Antigo Bairro da Areosa,,Pares de 32 a 34,,,4200,123,PORTO
13,12,38332,Porto,108426100,Rua,do,,,Antigo Bairro da Areosa,,Pares de 324 a 528,,,4200,118,PORTO
13,12,38332,Porto,108426100,Rua,do,,,Antigo Bairro da Areosa,,Pares de 8 a 18,,,4200,119,PORTO
13,12,38332,Porto,108433100,Rua,,Comendador,,Álvaro Portela,,,,,4000,294,PORTO
13,12,38332,Porto,10851213,Rua,,,,Joaquim de Vasconcelos,,,,,4050,311,PORTO
13,12,38332,Porto,10861213,Rua,,,,Joaquim Vitorino Ribeiro,,,,,4350,207,PORTO
13,12,38332,Porto,10871213,Rua,,,,Jorge Reinel,,Impares de 1 a 167,,,4150,436,PORTO
13,12,38332,Porto,10871213,Rua,,,,Jorge Reinel,,Pares de 40 a 152,,,4150,435,PORTO
13,12,38332,Porto,10881213,Rua,,,,Jorge de Sena,,,,,4050,312,PORTO
13,12,38332,Porto,10891213,Rua,,,,Jorge Viterbo Ferreira,,,,,4050,313,PORTO
13,12,38332,Porto,10901213,Rua,do,,,Jornal de Notícias,,Impares de 15 a 75,,,4100,295,PORTO
13,12,38332,Porto,10901213,Rua,do,,,Jornal de Notícias,,Impares de 189 a 389,,,4100,296,PORTO
13,12,38332,Porto,10901213,Rua,do,,,Jornal de Notícias,,Impares de 393 a 481,,,4100,297,PORTO
13,12,38332,Porto,10901213,Rua,do,,,Jornal de Notícias,,Impares de 529 a 787,,,4100,298,PORTO
13,12,38332,Porto,10901213,Rua,do,,,Jornal de Notícias,,Pares de 474 a 582,,,4100,293,PORTO
13,12,38332,Porto,10901213,Rua,do,,,Jornal de Notícias,,Pares de 770 a 956,,,4100,294,PORTO
13,12,38332,Porto,10901213,Rua,do,,,Jornal de Notícias,,Pares de 8 a 42,,,4100,292,PORTO
13,12,38332,Porto,10911213,Rua,,,,José Brito,Bairro do Lagarteiro,,,,4300,268,PORTO
13,12,38332,Porto,1091213,Rua,,,,Alto do Viso,,,,,4250,032,PORTO
13,12,38332,Porto,10921213,Rua,,,,José de Carvalho,,,,,4150,439,PORTO
13,12,38332,Porto,10931213,Rua,,,,José Falcão,,Impares de 13 a 35,,,4050,316,PORTO
13,12,38332,Porto,10931213,Rua,,,,José Falcão,,Impares de 91 a 277,,,4050,317,PORTO
13,12,38332,Porto,10931213,Rua,,,,José Falcão,,Pares de 2 a 38,,,4050,314,PORTO
13,12,38332,Porto,10931213,Rua,,,,José Falcão,,Pares de 74 a 230,,,4050,315,PORTO
13,12,38332,Porto,10941213,Rua,,,,José Fontana,,,,,4100,299,PORTO
13,12,38332,Porto,10951213,Rua,,,,José Gomes Ferreira,,Impares de 15 a 271,,,4150,442,PORTO
13,12,38332,Porto,10951213,Rua,,,,José Gomes Ferreira,,Pares de 16 a 316,,,4150,441,PORTO
13,12,38332,Porto,10951213,Rua,,,,José Gomes Ferreira,,,95,LOJA CTT GARCIA DE ORTA (PORTO),4150,998,PORTO
13,12,38332,Porto,10961213,Rua,,,,José Maria Pedroto,,,,,4200,351,PORTO
13,12,38332,Porto,10971213,Viela,,,,José da Mestra,,,,,4150,438,PORTO
13,12,38332,Porto,10981213,Rua,,,,José Monteiro Salazar,,,,,4150,443,PORTO
13,12,38332,Porto,10991213,Largo,,Escultor,,José Moreira da Silva,,,,,4000,312,PORTO
13,12,38332,Porto,11001213,Praceta,,,,José Régio,,,,,4100,300,PORTO
13,12,38332,Porto,11011213,Praceta,,,,José Serra,,,,,4350,208,PORTO
13,12,38332,Porto,1101213,Rua,,,,Alvalade,,,,,4350,029,PORTO
13,12,38332,Porto,11031213,Rua,,,,José Teixeira Barreto,,,,,4300,272,PORTO
13,12,38332,Porto,11041213,Rua,,,,Júlio Brandão,,,,,4150,444,PORTO
13,12,38332,Porto,11051213,Rua,,,,Júlio de Brito,,,,,4150,449,PORTO
13,12,38332,Porto,1105960000,Travessa,,Dom,,Sancho II,,,,,4000,546,PORTO
13,12,38332,Porto,11061213,Rua,,,,Júlio Dantas,,Impares de 311 a 449,,,4150,448,PORTO
13,12,38332,Porto,11061213,Rua,,,,Júlio Dantas,,Impares de 9 a 243,,,4150,447,PORTO
13,12,38332,Porto,11061213,Rua,,,,Júlio Dantas,,Pares de 278 a 454,,,4150,446,PORTO
13,12,38332,Porto,11061213,Rua,,,,Júlio Dantas,,Pares de 60 a 224,,,4150,445,PORTO
13,12,38332,Porto,11071213,Rua,,,,Júlio Dinis,,Escola Industrial Infante Dom Henrique,,,4050,319,PORTO
13,12,38332,Porto,11071213,Rua,,,,Júlio Dinis,,Impares de 15 a 157,,,4050,323,PORTO
13,12,38332,Porto,11071213,Rua,,,,Júlio Dinis,,Impares de 201 a 247,,,4050,324,PORTO
13,12,38332,Porto,11071213,Rua,,,,Júlio Dinis,,Impares de 501 a 699,,,4050,325,PORTO
13,12,38332,Porto,11071213,Rua,,,,Júlio Dinis,,Impares de 705 a 779,,,4050,326,PORTO
13,12,38332,Porto,11071213,Rua,,,,Júlio Dinis,,Impares de 803 a 947,,,4050,327,PORTO
13,12,38332,Porto,11071213,Rua,,,,Júlio Dinis,,Pares de 544 a 610,,,4050,319,PORTO
13,12,38332,Porto,11071213,Rua,,,,Júlio Dinis,,Pares de 648 a 678,,,4050,320,PORTO
13,12,38332,Porto,11071213,Rua,,,,Júlio Dinis,,Pares de 724 a 780,,,4050,012,PORTO
13,12,38332,Porto,11071213,Rua,,,,Júlio Dinis,,Pares de 796 a 944,,,4050,322,PORTO
13,12,38332,Porto,11071213,Rua,,,,Júlio Dinis,,Pares de 80 a 386,,,4050,318,PORTO
13,12,38332,Porto,11071213,Rua,,,,Júlio Dinis,,,158,MONTEPIO CRÉDITO,4099,072,PORTO
13,12,38332,Porto,11071213,Rua,,,,Júlio Dinis,,230 BL 1,,,4050,318,PORTO
13,12,38332,Porto,11071213,Rua,,,,Júlio Dinis,,230 BL 2,,,4050,318,PORTO
13,12,38332,Porto,11071213,Rua,,,,Júlio Dinis,,,719,MILLENNIUM BCP,4099,070,PORTO
13,12,38332,Porto,11071213,Rua,,,,Júlio Dinis,,,826,DISCONTO,4099,004,PORTO
13,12,38332,Porto,11081213,Rua,,,,Júlio Ramos,,Impares de 5 a 179,,,4200,360,PORTO
13,12,38332,Porto,11081213,Rua,,,,Júlio Ramos,,Pares de 2 a 188,,,4200,359,PORTO
13,12,38332,Porto,11091213,Rua,,,,Junquilhos,Bairro do Amial,,,,4250,257,PORTO
13,12,38332,Porto,11101213,Rua,,,,Justino Teixeira,,Auto Men,,,4300,278,PORTO
