Dionísio,M
Dionísio dos Santos Silva,M
Direita das Campinas,
Direita de Francos,
Direita de Pereiró,
Direita do Viso,
Diu,
Domingos,M
Domingos Alvão,M
Domingos de Azevedo,M
Domingos Machado,M
Domingos Pinho Brandão,M
Domingos Sequeira,M
Dominguez Alvarez,
Dórdio Gomes,
Dores,
Douro,
Doze Casas,
Duarte Barbosa,M
Duarte de Almeida,M
Duarte Leite,M
Duarte Lopes,M
Duarte Pacheco Pereira,M
Duruelo de La Sierra,
Eça de Queirós,
Eduardo Allen,M
Eduardo Brazão,M
Eduardo Santos Silva,M
Eduardo Soares,M
Egas Moniz,M
Eirinhas,
Elaine Sanceau,F
Elísio de Melo,M
Emílio Biel,M
Emílio Peres,M
Encarnação,
Encontro,
Entrecampos,
Entreparedes,
Entrequintas,
Ericeira,
Ernesto Morais,M
Ernesto Veiga de Oliveira,M
Escadas Monte dos Judeus,
Escola,
Escola Normal,
Escolas,
Escolástica,
Escura,
Espinho,
Esposende,
Estação,
Estação de Campanhã,
Estação de Contumil,
Estádio,
Estefânia,F
Esteiro de Campanhã,
Estêvão,M
Estêvão da Gama,M
Estêvão Gomes,M
Estiva,
Estoril,
Estreita de Lóios,
Estrela e Vigorosa Sport,F
Estrelas,
Eugénio da Cunha e Freitas,
Eugénio de Castro,
Exército Libertador,
Ezequiel de Campos,M
Fábrica,
"Fábrica ""A Invencível""",
Fábrica do Bairro da Areosa,
Fábrica Social,
Faia,
Faial,
Falcão,
Faria,
Faria Guimarães,
Farol,
Fátima,F
Felgueiras,
Feliciano de Castilho,M
Felicidade Brown,F
Felizardo de Lima,
Fernandes Costa,
Fernandes Tomás,
Fernando Azeredo Antas,M
Fernando Cabral,M
Fernando de Bulhões,M
Fernando Lopes Graça,M
Fernando Magano,M
Fernando Moreira da Silva,M
Fernando Pessoa,M
Fernão Cardim,M
Fernão de Magalhães,M
Fernão Lopes,M
Fernão Lopes de Castanheda,M
Fernão Mendes Pinto,M
Fernão Vaz Dourado,M
Ferraz,
Ferreira,
Ferreira Borges,
Ferreira Cardoso,
Ferreira da Silva,
Ferreira de Castro,
Ferreira Dias,
Ferreira dos Santos,
Ferreira Lapa,
Ferreira Pinto,
Ferrer Loureiro,
Fez,
Figueira da Foz,
Figueiras,
Figueiroa,
Filipa de Lencastre,F
Filipe Néri,M
Firmeza,
Firmino Pereira,
Flora,F
Flor-de-Lis,
Flor-de-Rosa,
Flores,
Florinha da Abrigada,
Fogo,
Fonseca Cardoso,
Fonseca Soares,
Fontaínhas,
Fonte da Luz,
Fonte da Moura,
Fonte de Cima,
Fonte de Contumil,
Fonte de Massarelos,
Fonte do Outeiro,
Fontes Pereira de Melo,
Fonte Taurina,
Fonte Velha,
Fontinha,
Formiga,
Formosa,
Forno Velho,
Forrester,
França,
Francisco,M
Francisco Barreto,M
Francisco Borges,M
Francisco Carqueja,M
Francisco da Rocha Soares,M
Francisco de Almeida,M
Francisco de Borja,M
Francisco de Sena Esteves,M
Francisco Oliveira Ferreira,M
Francisco Rangel,M
Francisco Sá Carneiro,M
Francisco Sanches,M
Francisco Xavier,M
Francisco Xavier Esteves,M
François Guichard,
Francos,
Frederico Ozanam,M
Frei Gil,
Freire de Andrade,
Freixo,
Funchal,
Furadouro,
Furamontes,
Futebol Clube do Porto,
Gabriel Soares de Sousa,M
Gaivotas,
Galeria de Paris,
Galiza,
Gama Barros,
Garcia de Orta,
Gardénias,
Gaspar Coelho,M
Gaspar Correia,M
Gazeta Literária,
Gerânios,
Gerês,
Germalde,
Gestaçô,
Giestal,
Gil da Costa,M
Gil Eanes,M
Gil Vicente,M
Girassol,
Glicínias,
Glória,F
Goa,M
Godim,
Goelas de Pau,
Gólgota,
Gomes da Costa,
Gomes Eanes de Azurara,
Gomes Freire,
Gomes Leal,
Gomes Teixeira,
Gonçalo,M
Gonçalo Cristóvão,M
Gonçalo Nunes Faria,M
Gonçalo Pires Bandeira,M
Gonçalo Sampaio,M
Gonçalo Velho,M
Gonçalves Coelho,
Gonçalves Zarco,
Gondarém,
Graciosa,
Grândola,
Granja,
Granja de Lordelo,
Grão-Magriço,
Grijó,
Grupo 10 de Maio,
Guadiana,
Guedes de Azevedo,
Guerra Junqueiro,
Guilherme Bonfim Barreiros,M
Guilherme Braga,M
Guilherme Camarinha,M
Guilherme Costa Carvalho,M
Guilherme Dantas,M
Guilherme Gomes Fernandes,M
Guilhermina Suggia,F
Guindais,
Guiné,
Gustavo de Sousa,M
Gustavo Eiffel,M
Heitor Campos Monteiro,M
Heitor Pinto,M
Helder Ribeiro,M
Helena,F
Helena Sá Costa,F
Henrique,M
Henrique Alegria,M
Henrique Alves da Costa,M
Henrique David,M
Henrique de Miranda,M
Henrique de Sousa Reis,M
Henrique Galvão,M
Henrique Lopes de Mendonça,M
Henrique Medina,M
Henrique Moreira,M
Henrique Pousão,M
Heras,
Hernâni Monteiro,M
Hernâni Torres,M
Heróis de Mucaba,
Heróis e Mártires de Angola,
Heroísmo,
Himalaya,
Historiador Robert Smith,
Honório Barreto,
Honório de Lima,
Hora,
Horácio Marçal,M
Hortênsias,
Hugo,M
Hugo Rocha,M
Humberto Delgado,M
Igreja,
Igreja da Areosa,
Igreja de Campanhã,
Igreja de Cedofeita,
Igreja de Nevogilde,
Igreja de Paranhos,
Igreja de Ramalde,
Iise Losa,
Ildefonso,
Ilha Brava,
Ilha do Ferro,
Ilha Terceira,
Ilha Verde,
Ilhéu,
Império,
Inácio Alberto de Sousa,M
Inácio de Azevedo,M
Inácio Gomes,M
Índia,
Ingleses,
Instituto de Cegos S Manuel,
Invicta Filmes,
Irene de Castro,F
Irene Vilar,F
Isabel,F
Isidro,M
Ivo Cruz,M
Jacinto Nunes,M
Jaime Brasil,M
Jaime Cortesão,M
Jaime Rios de Sousa,M
Januário Godinho,M
Japoneiras,
Jasmins,
Jerónimo de Azevedo,M
Jerónimo Mendonça,M
Joana Princesa,F
João,M
João Allen,M
João Andersen,M
João Araújo Correia,M
João Augusto Ribeiro,M
João Baptista Lavanha,M
João Baptista Machado,M
João Bosco,M
João Corregedor da Fonseca,M
João Coutinho,M
João da Foz,M
João das Regras,M
João de Azevedo,M
João de Barros,M
João de Brito,M
João de Castro,M
João de Deus,M
João de Lisboa,M
João de Mascarenhas,M
João de Oliveira Ramos,M
João do Carmo,M
João do Porto,M
João Espregueira Mendes,M
João Fernandes Lopes Neves,M
João Glama,M
João Grave,M
João Guedes,M
João I,M
João II,M
João III,M
João IV,M
João Lúcio Azevedo,M
João Marques Pinto,M
João Martins Branco,M
João Novo,M
João Paulo Freire,M
João Paulo Seara Cardoso,M
João Peculiar,M
João Pedro Ribeiro,M
João Queirós,M
João Ramalho,M
João Roby,M
João Rodrigues Cabrilho,M
João Santos Ferreira,M
João Sá Peixoto,M
João Saraiva,M
Joaquim Alves Teixeira,M
Joaquim António de Aguiar,M
Joaquim Bastos,M
Joaquim Cardoso Vila Nova,M
Joaquim Costa,M
Joaquim de Vasconcelos,M
Joaquim Kopke,M
Joaquim Leitão,M
Joaquim Lopes,M
Joaquim Pires de Lima,M
Joaquim Urbano,M
Joaquim Vitorino Ribeiro,M
John Whitehead,M
Jorge,M
Jorge de Sena,M
Jorge Gigante,M
Jorge Reinel,M
Jorge Viterbo Ferreira,M
Jornal de Notícias,
José,M
José Anchieta,M
José António Marques,M
José Aroso,M
José Augusto de Castro,M
José Augusto Seabra,M
José Brito,M
José da Conceição Sousa,M
José da Mestra,M
José da Silva,M
José da Silva Passos,M
José de Carvalho,M
José de Figueiredo,M
José de Oliveira,M
José Domingues dos Santos,M
José Falcão,M
José Fontana,M
José Fontes Rocha,M
José Gomes Ferreira,M
José Luís Nunes,M
José Maria Pedroto,M
José Marques,M
José Monteiro da Costa,M
José Monteiro Salazar,M
José Moreira da Silva,M
José Pacheco do Monte,M
José Régio,M
José Saraiva,M
José Serra,M
José Teixeira Barreto,M
José Valente,M
Júlio Amaral de Carvalho,M
Júlio Brandão,M
